smiles,additional comment,IsPolymerized,delta_FE(H2),delta_FE(CO),delta_FE(HCOOH),delta_FE(CH4),delta_FE(CH3OH),delta_FE(C1),delta_FE(C2H4),delta_FE(C2H6),delta_FE(C2H5OH),delta_FE(Acetaldehyde),delta_FE(CH3CO2H),delta_FE(C3H6),delta_FE(C3H7OH),delta_FE(AllylOH),delta_FE(C2+),typical voltage (V vs RHE),typical current density(mA/cm2),delta_current density ratio,Is Voltage reliable,Is current density reliable,typical pH,typicalelectrolyte,Setcurrent_density,cell type,ref,additional comments
O=C(C1=C(C(O)=O)C=C(C(O)=O)C(C(O)=O)=C1)O,MOF,No,NaN,NaN,0,NaN,0,NaN,0,0,8.2,0,44.5,0,0,0,52.7,-0.4,11.5,-0.041666667,Yes,Yes,neutral,KCl(0.1M),FALSE,H-Cell,"Nature Communications 2019, 10 (1), 3851. DOI: 10.1038/s41467-019-11599-7.",
O=C(C1=C(C(O)=O)C=C(C(O)=O)C(C(O)=O)=C1)O,MOF,No,NaN,NaN,0,NaN,0,NaN,0,0,34,0,6,0,0,0,40,-0.55,20,0.666666667,Yes,Yes,neutral,KCl(0.1M),FALSE,H-Cell,"Nature Communications 2019, 10 (1), 3851. DOI: 10.1038/s41467-019-11599-7.",
O=C(C1=CC=C(C(O)=O)C(C(O)=O)=C1)O,MOF,No,NaN,NaN,0,NaN,0,NaN,0,0,4,0,36,0,0,0,39.6,-0.4,8.1,-0.325,Yes,Yes,neutral,KCl(0.1M),FALSE,H-Cell,"Nature Communications 2019, 10 (1), 3851. DOI: 10.1038/s41467-019-11599-7.",
O=C(C1=CC(C(O)=O)=CC(C(O)=O)=C1)O,MOF,No,NaN,NaN,0,NaN,0,NaN,0,0,18,0,12,0,0,0,28.7,-0.4,7.3,-0.391666667,Yes,Yes,neutral,KCl(0.1M),FALSE,H-Cell,"Nature Communications 2019, 10 (1), 3851. DOI: 10.1038/s41467-019-11599-7.",
O=C(C1=CC=CC(C(O)=O)=C1C(O)=O)O,MOF,No,NaN,NaN,0,NaN,0,NaN,0,0,2,0,29,0,0,0,26.4,-0.4,7.4,-0.383333333,Yes,Yes,neutral,KCl(0.1M),FALSE,H-Cell,"Nature Communications 2019, 10 (1), 3851. DOI: 10.1038/s41467-019-11599-7.",
O=C(C1=C(C(O)=O)C=CC=N1)O,MOF,No,NaN,NaN,0,NaN,0,NaN,0,0,-3,0,25,0,0,0,22.2,-0.4,5.1,-0.575,Yes,Yes,neutral,KCl(0.1M),FALSE,H-Cell,"Nature Communications 2019, 10 (1), 3851. DOI: 10.1038/s41467-019-11599-7.",
O=C(C1=CC=C(C(O)=O)C=C1)O,MOF,No,NaN,NaN,0,NaN,0,NaN,0,0,-9,0,24,0,0,0,13.8,-0.4,2.8,-0.766666667,Yes,Yes,neutral,KCl(0.1M),FALSE,H-Cell,"Nature Communications 2019, 10 (1), 3851. DOI: 10.1038/s41467-019-11599-7.",
CS,,No,-20,2,-2,-2,0,-2,5,0,12,0,0,0,0,0,17,-1.2,1.3,0,Yes,No,neutral,NaHCO3(0.1M),FALSE,H-Cell,"ACS Catalysis 2020, 10 (24), 15238-15249. DOI: 10.1021/acscatal.0c04106.",
Cl[Fe]123<-N4=C5C=CC4=C(c4ccccc4)c4ccc(n41)C(c1ccccc1)=C1C=CC(=N->21)C(c1ccccc1)=c1ccc(n13)=C5c1ccccc1,,No,-2,-1,-2,0.5,0,-2.5,-11.5,0,11.8,0,-1,0,-2,0,-2.7,-0.8,124,0.409090909,Yes,Yes,weak base,KHCO3(1M),FALSE,GDE,"Nature Catalysis 2020, 3 (1), 75-82. DOI: 10.1038/s41929-019-0383-7.",
C1=CC2=N3->[Ni]45<-N6=C(C=CC6=C(c6ccccc6)c6ccc(n64)C(c4ccccc4)=C13)C(c1ccccc1)=c1ccc(n15)=C2c1ccccc1,,No,2,0,-3,-0.5,0,-3.5,-8,0,7.6,0,-3,0,0,0,-3.4,-0.8,100,0,Yes,No,weak base,KHCO3(1M),FALSE,GDE,"Nature Catalysis 2020, 3 (1), 75-82. DOI: 10.1038/s41929-019-0383-7.",estimated current density
C1(/C(C2=CC=CC=C2)=C(C=C/3)\NC3=C4\C5=CC=CC=C5)=N/C(C=C1)=C(C6=CC=CC=C6)\C7=CC=C(/C(C8=CC=CC=C8)=C9C=CC4=N/9)N7,,No,8,-2.5,-4.5,2.5,0,-4.5,-7,0,-1.4,0,-2,0,-4,0,-14.4,-0.8,100,0,Yes,No,weak base,KHCO3(1M),FALSE,GDE,"Nature Catalysis 2020, 3 (1), 75-82. DOI: 10.1038/s41929-019-0383-7.",estimated current density
Fc1c(F)c(F)c(C2=C3C=CC4=N3->[Fe]35(Cl)<-N6=C(C=CC6=C(c6c(F)c(F)c(F)c(F)c6F)c6ccc2n63)C(c2c(F)c(F)c(F)c(F)c2F)=c2ccc(n25)=C4c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,,No,0,-1,-1,-0.5,0,-2.5,-12,0,8.6,0,-2,0,-3,0,-8.4,-0.8,100,0,Yes,No,weak base,KHCO3(1M),FALSE,GDE,"Nature Catalysis 2020, 3 (1), 75-82. DOI: 10.1038/s41929-019-0383-7.",estimated current density
COc1ccc(C2=C3C=CC4=N3->[Fe]35(Cl)<-N6=C(C=CC6=C(c6ccc(OC)cc6)c6ccc2n63)C(c2ccc(OC)cc2)=c2ccc(n25)=C4c2ccc(OC)cc2)cc1,,No,0,-2,-3,1.5,0,-3.5,-9,0,8.6,0,-2,0,-2,0,-4.4,-0.8,100,0,Yes,No,weak base,KHCO3(1M),FALSE,GDE,"Nature Catalysis 2020, 3 (1), 75-82. DOI: 10.1038/s41929-019-0383-7.",estimated current density
C1=CC2=N3->[Co]45<-N6=C(C=CC6=C(c6ccccc6)c6ccc(n64)C(c4ccccc4)=C13)C(c1ccccc1)=c1ccc(n15)=C2c1ccccc1,,No,-2,-2,-3,0.5,0,-4.5,-12,0,8.6,0,-3,0,0,0,-6.4,-0.8,100,0,Yes,No,weak base,KHCO3(1M),FALSE,GDE,"Nature Catalysis 2020, 3 (1), 75-82. DOI: 10.1038/s41929-019-0383-7.",estimated current density
CC1=CC=C(N2C=CC(C3C=CN(C4=CC=C(C)C=C4)C=C3)C=C2)C=C1.CC1=CC=C(N2C(C3C=CC=CN3C4=CC=C(C)C=C4)C=CC=C2)C=C1,,No,2.4,-19.4,-0.9,0.2,0,-20.1,20.7,0,1.2,0,2.3,0,0,0,24.2,-0.83,300,0,Yes,No,weak base,KHCO3(1M),FALSE,GDE," Nature 2020, 577 (7791), 509-513",estimated current density
COC1=CC=C(N2C=CC(C3C=CN(C4=CC=C(OC)C=C4)C=C3)C=C2)C=C1.COC1=CC=C(N2C(C3C=CC=CN3C4=CC=C(OC)C=C4)C=CC=C2)C=C1,,No,4.6,-15.9,-1,0.4,0,-16.5,13.4,0,0.7,0,0.7,0,-0.3,0,14.5,-0.83,300,0,Yes,No,weak base,KHCO3(1M),FALSE,GDE," Nature 2020, 577 (7791), 509-513",estimated current density
ClC1=CC=C(N2C=CC(C3C=CN(C4=CC=C(Cl)C=C4)C=C3)C=C2)C=C1.ClC1=CC=C(N2C(C3C=CC=CN3C4=CC=C(Cl)C=C4)C=CC=C2)C=C1,,No,-0.4,-18.4,0.2,1.7,0,-16.5,19.2,0,2.1,0,-0.1,0,2.6,0,23.8,-0.83,300,0,Yes,No,weak base,KHCO3(1M),FALSE,GDE," Nature 2020, 577 (7791), 509-513",estimated current density
C1(N2C=CC(C3C=CN(C4=CC=CC=C4)C=C3)C=C2)=CC=CC=C1.C1(N2C(C3C=CC=CN3C4=CC=CC=C4)C=CC=C2)=CC=CC=C1,,No,5,-18.4,-1.7,0.4,0,-19.7,16,0,0.1,0,-0.1,0,0.4,0,16.4,-0.84,300,0,Yes,No,weak base,KHCO3(1M),FALSE,GDE," Nature 2020, 577 (7791), 509-513",estimated current density
NC1=CC=C(N2C=CC(C3C=CN(C4=CC=C(N)C=C4)C=C3)C=C2)C=C1.NC1=CC=C(N2C(C3C=CC=CN3C4=CC=C(N)C=C4)C=CC=C2)C=C1,,No,16.7,-19.9,0.4,0.3,0,-19.2,6.5,0,0.1,0,1.6,0,0.6,0,8.8,-0.82,300,0,Yes,No,weak base,KHCO3(1M),FALSE,GDE," Nature 2020, 577 (7791), 509-513",estimated current density
CN(C)C1=CC=C(N2C=CC(C3C=CN(C4=CC=C(N(C)C)C=C4)C=C3)C=C2)C=C1.CN(C)C1=CC=C(N2C(C3C=CC=CN3C4=CC=C(N(C)C)C=C4)C=CC=C2)C=C1,,No,19.3,-21.3,-1.5,2.1,0,-20.7,0,0,3.2,0,3,0,-1,0,5.2,-0.83,300,0,Yes,No,weak base,KHCO3(1M),FALSE,GDE," Nature 2020, 577 (7791), 509-513",estimated current density
CC1=CC=C(N2C=CC(C3(C)C=CN(C4=CC=C(C)C=C4)C=C3)(C)C=C2)C=C1.CC1=CC=C(N2C(C3C=C(C)C=CN3C4=CC=C(C)C=C4)C=C(C)C=C2)C=C1,,No,2,-14.6,-1.2,0.7,0,-15.1,13.1,0,0.7,0,0.9,0,0.4,0,15.1,-0.83,300,0,Yes,No,weak base,KHCO3(1M),FALSE,GDE," Nature 2020, 577 (7791), 509-513",estimated current density
CC(C=C1)(C2(C)C=CN(C3=CC=C(C(F)(F)F)C=C3)C=C2)C=CN1C4=CC=C(C(F)(F)F)C=C4.CC(C=C1)=CC(C2C=C(C)C=CN2C3=CC=C(C(F)(F)F)C=C3)N1C4=CC=C(C(F)(F)F)C=C4,,No,7.1,-12.2,-1.5,0.6,0,-13.1,11.2,0,-3.8,0,0.8,0,0.2,0,8.4,-0.84,300,0,Yes,No,weak base,KHCO3(1M),FALSE,GDE," Nature 2020, 577 (7791), 509-513",estimated current density
CC1=CC=C(N2C=CC(C3(C(C)(C)C)C=CN(C4=CC=C(C)C=C4)C=C3)(C(C)(C)C)C=C2)C=C1.CC1=CC=C(N2C(C3C=C(C(C)(C)C)C=CN3C4=CC=C(C)C=C4)C=C(C(C)(C)C)C=C2)C=C1,,No,7.9,-12.1,-1.6,0.1,0,-13.6,11.3,0,-3,0,0.2,0,0.7,0,9.2,-0.83,300,0,Yes,No,weak base,KHCO3(1M),FALSE,GDE," Nature 2020, 577 (7791), 509-513",estimated current density
CC1=CC=C(N2C=CC(C3(OC)C=CN(C4=CC=C(C)C=C4)C=C3)(OC)C=C2)C=C1.CC1=CC=C(N2C(C3C=C(OC)C=CN3C4=CC=C(C)C=C4)C=C(OC)C=C2)C=C1,,No,16.5,-20.1,-1.7,1,0,-20.8,7.9,0,-1.9,0,0.1,0,0.3,0,6.4,-0.83,300,0,Yes,No,weak base,KHCO3(1M),FALSE,GDE," Nature 2020, 577 (7791), 509-513",estimated current density
CC1=CC=C(N2C=CC(C3(N(C)C)C=CN(C4=CC=C(C)C=C4)C=C3)(N(C)C)C=C2)C=C1.CC1=CC=C(N2C(C3C=C(N(C)C)C=CN3C4=CC=C(C)C=C4)C=C(N(C)C)C=C2)C=C1,,No,31.2,-21.2,0.6,0.2,0,-20.4,-6.4,0,-1.6,0,-0.3,0,2.3,0,-6,-0.82,300,0,Yes,No,weak base,KHCO3(1M),FALSE,GDE," Nature 2020, 577 (7791), 509-513",estimated current density
C1([N+]2=CC=CC=C2)=CC=C(N3C=CC(C4C=CN(C5=CC=C([N+]6=CC=CC=C6)C=C5)C=C4)C=C3)C=C1.C1([N+]2=CC=CC=C2)=CC=C(N3C(C4C=CC=CN4C5=CC=C([N+]6=CC=CC=C6)C=C5)C=CC=C3)C=C1,,No,1.1,-20.2,-1.9,0.4,0,-21.7,27.6,0,-5,0,0.3,0,1.8,0,24.7,-0.83,322,-0.112947658,Yes,Yes,weak base,KHCO3(1M),FALSE,GDE," Nature 2020, 577 (7791), 509-513",
CC1=CC=C(N2C=CC(C3C=CN(C4=CC=C(C)C=C4)C=C3)C=C2)C=C1.CC1=CC=C(N2C(C3C=CC=CN3C4=CC=C(C)C=C4)C=CC=C2)C=C1,,No,-27.3,0.1,1.8,-19.2,0,-17.3,28.1,0,23.4,0,0,0,4.3,0,55.8,-0.83,1.02,-0.771300448,Yes,Yes,weak base,KHCO3(0.1M),FALSE,H-Cell,"ACS Cent. Sci. 2017, 3, 8, 853–859",
ClC1=CC=C(N2C=CC(C3C=CN(C4=CC=C(Cl)C=C4)C=C3)C=C2)C=C1.ClC1=CC=C(N2C(C3C=CC=CN3C4=CC=C(Cl)C=C4)C=CC=C2)C=C1,,No,-21,0.8,5.4,-17.1,0,-10.9,16.9,0,22.4,0,0,0,-2.8,0,36.5,-0.83,0.7,-0.843049327,Yes,Yes,weak base,KHCO3(0.1M),FALSE,H-Cell,"ACS Cent. Sci. 2017, 3, 8, 853–859",
COC1=CC=C(N2C=CC(C3C=CN(C4=CC=C(OC)C=C4)C=C3)C=C2)C=C1.COC1=CC=C(N2C(C3C=CC=CN3C4=CC=C(OC)C=C4)C=CC=C2)C=C1,,No,-26.2,0.4,5.9,-19.9,0,-13.6,25.3,0,15.1,0,0,0,5.9,0,46.3,-0.83,1.46,-0.67264574,Yes,Yes,weak base,KHCO3(0.1M),FALSE,H-Cell,"ACS Cent. Sci. 2017, 3, 8, 853–859",
CN(C)C1=CC=C(N2C=CC(C3C=CN(C4=CC=C(N(C)C)C=C4)C=C3)C=C2)C=C1.CN(C)C1=CC=C(N2C(C3C=CC=CN3C4=CC=C(N(C)C)C=C4)C=CC=C2)C=C1,,No,-30.4,0.4,4.1,-20.1,0,-15.6,28.4,0,19.5,0,0,0,5.8,0,53.7,-0.83,1.34,-0.69955157,Yes,Yes,weak base,KHCO3(0.1M),FALSE,H-Cell,"ACS Cent. Sci. 2017, 3, 8, 853–859",
CC(C)(C)C1=CC=C(N2C=CC(C3C=CN(C4=CC=C(C(C)(C)C)C=C4)C=C3)C=C2)C=C1.CC(C)(C)C1=CC=C(N2C(C3C=CC=CN3C4=CC=C(C(C)(C)C)C=C4)C=CC=C2)C=C1,,No,9.3,2,2.2,-18.1,0,-13.9,5.8,0,8.8,0,0,0,-2.8,0,11.8,-0.83,1.4,-0.686098655,Yes,Yes,weak base,KHCO3(0.1M),FALSE,H-Cell,"ACS Cent. Sci. 2017, 3, 8, 853–859",
CC1=CC=C(N2C=CC(C3(C4=CC=CC=C4)C=CN(C5=CC=C(C)C=C5)C=C3)(C6=CC=CC=C6)C=C2)C=C1.CC1=CC=C(N2C(C3C=C(C4=CC=CC=C4)C=CN3C5=CC=C(C)C=C5)C=C(C6=CC=CC=C6)C=C2)C=C1,,No,-32.8,1.4,8.3,-20.13,0,-10.43,21.2,0,19.9,0,0,0,9,0,50.1,-0.83,1.1,-0.753363229,Yes,Yes,weak base,KHCO3(0.1M),FALSE,H-Cell,"ACS Cent. Sci. 2017, 3, 8, 853–859",
CCCCN1C=CC(C2C=CN(CCCC)C=C2)C=C1.CCCCN1C(C2C=CC=CN2CCCC)C=CC=C1,,No,7.7,0.9,5.9,-15.1,0,-8.3,-10.7,0,-7.2,0,0,0,2.5,0,-15.4,-0.83,3.32,-0.255605381,Yes,Yes,weak base,KHCO3(0.1M),FALSE,H-Cell,"ACS Cent. Sci. 2017, 3, 8, 853–859",
C1(C2C=CNC=C2)C=CNC=C1.C1(C2C=CC=CN2)NC=CC=C1,,No,45.7,-1.3,0.9,-19.8,0,-20.2,-12.3,0,-7.2,0,0,0,-0.7,0,-20.2,-0.83,6.28,0.408071749,Yes,Yes,weak base,KHCO3(0.1M),FALSE,H-Cell,"ACS Cent. Sci. 2017, 3, 8, 853–859",
C1(N2C=CC(C3C=CN(C4=CC=NC=C4)C=C3)C=C2)=CC=NC=C1.C1(N2C(C3C=CC=CN3C4=CC=NC=C4)C=CC=C2)=CC=NC=C1,,No,23.1,-1.5,4.8,-20.16,0,-16.86,-12.4,0,-7.2,0,0,0,-2.8,0,-22.4,-0.83,2.95,-0.338565022,Yes,Yes,weak base,KHCO3(0.1M),FALSE,H-Cell,"ACS Cent. Sci. 2017, 3, 8, 853–859",
CN1C=CC(C2(C3=CC=[N+](C)C=C3)C=CN(C)C=C2)(C4=CC=[N+](C)C=C4)C=C1.CN1C(C2C=C(C3=CC=[N+](C)C=C3)C=CN2C)C=C(C4=CC=[N+](C)C=C4)C=C1,,No,-14.2,-1,4.3,-20.2,0,-16.9,-9.2,0,-7.2,0,0,0,-2.8,0,-19.2,-0.83,0.97,-0.782511211,Yes,Yes,weak base,KHCO3(0.1M),FALSE,H-Cell,"ACS Cent. Sci. 2017, 3, 8, 853–859",
C1(N2C=CC(C3(C4=CC=[N+](C5=CC=CC=C5)C=C4)C=CN(C6=CC=CC=C6)C=C3)(C7=CC=[N+](C8=CC=CC=C8)C=C7)C=C2)=CC=CC=C1.C1(N2C(C3C=C(C4=CC=[N+](C5=CC=CC=C5)C=C4)C=CN3C6=CC=CC=C6)C=C(C7=CC=[N+](C8=CC=CC=C8)C=C7)C=C2)=CC=CC=C1,,No,18.8,-1.4,0.8,-16,0,-16.6,-8.4,0,-7.2,0,0,0,-2.8,0,-18.4,-0.83,4.03,-0.096412556,Yes,Yes,weak base,KHCO3(0.1M),FALSE,H-Cell,"ACS Cent. Sci. 2017, 3, 8, 853–859",
CN(C)C1=CC2=[S+]C3=C(N=C2C=C1)C=CC(N(C)C)=C3,,Yes,33.8,-1.2,-3.4,-20.19,0,-24.79,-12.33,0,-7.2,0,0,0,-2.8,0,-22.33,-0.83,6.44,0.443946188,Yes,Yes,weak base,KHCO3(0.1M),FALSE,H-Cell,"ACS Cent. Sci. 2017, 3, 8, 853–859",
CC(C=C1C)=CC(C)=C1N2C=[N+](C3=C(C)C=C(C)C=C3C)C=C2,,Yes,48.5,-1.4,0.6,-20,0,-20.8,-12.39,0,-7.2,0,0,0,-2.8,0,-22.39,-0.83,4.2,-0.058295964,Yes,Yes,weak base,KHCO3(0.1M),FALSE,H-Cell,"ACS Cent. Sci. 2017, 3, 8, 853–859",
NCC(O)=O,,No,-24,0.2,0,0,0,0.2,6.8,9.4,0,0,0,0.1,0,0,16.3,-1.3,11,-0.153846154,Yes,Yes,weak base,KHCO3(0.1M),FALSE,H-Cell,"Energy Environ. Sci., 2016,9, 1687-1695",
NC(CC(C)C)C(O)=O,,No,-3.8,-0.1,0,0,0,-0.1,0.2,1.3,0,0,0,0,0,0,1.5,-1.3,10,0,Yes,No,weak base,KHCO3(0.1M),FALSE,H-Cell,"Energy Environ. Sci., 2016,9, 1687-1695",estimated current density
NC(CC1=CC=CC=C1)C(O)=O,,No,-8.9,0,0,0,0,0,2.9,6.3,0,0,0,0.1,0,0,9.3,-1.3,10,0,Yes,No,weak base,KHCO3(0.1M),FALSE,H-Cell,"Energy Environ. Sci., 2016,9, 1687-1695",estimated current density
NC(CCC/N=C(N)\N)C(O)=O,,No,-13,0,0,0,0,0,2.4,3.4,0,0,0,0,0,0,5.8,-1.3,10,0,Yes,No,weak base,KHCO3(0.1M),FALSE,H-Cell,"Energy Environ. Sci., 2016,9, 1687-1695",estimated current density
NC(C)C(O)=O,,No,-9.4,0,0,0,0,0,2.9,3.6,0,0,0,0,0,0,6.5,-1.3,10,0,Yes,No,weak base,KHCO3(0.1M),FALSE,H-Cell,"Energy Environ. Sci., 2016,9, 1687-1695",estimated current density
NC(CC1=CC=C(O)C=C1)C(O)=O,,No,-3.9,0,0,0,0,0,2.9,0.1,0,0,0,0.1,0,0,3.1,-1.3,10,0,Yes,No,weak base,KHCO3(0.1M),FALSE,H-Cell,"Energy Environ. Sci., 2016,9, 1687-1695",estimated current density
O=C(C1=CC=CC=C1)O,,No,3.4,-0.2,0,0,0,-0.2,-2.2,0.4,0,0,0,-0.1,0,0,-1.9,-1.3,10,0,Yes,No,weak base,KHCO3(0.1M),FALSE,H-Cell,"Energy Environ. Sci., 2016,9, 1687-1695",estimated current density
O=[N+](C1=CC=CC=C1)[O-],,No,0.9,0.1,0,0,0,0.1,-3.5,-4.4,0,0,0,0,0,0,-7.9,-1.3,10,0,Yes,No,weak base,KHCO3(0.1M),FALSE,H-Cell,"Energy Environ. Sci., 2016,9, 1687-1695",estimated current density
O=C(C1=C2C=CC=C1)C3=C(C=CC=C3)C2=O,,No,6.9,0,0,0,0,0,-4,-5,0,0,0,0,0,0,-9,-1.3,10,0,Yes,No,weak base,KHCO3(0.1M),FALSE,H-Cell,"Energy Environ. Sci., 2016,9, 1687-1695",estimated current density
